mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_max_samples,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.4942653179168701,0.03139928861578682,0.01011829376220703,0.0017947960443634224,3,1.0,0.8,0.03,"{'max_depth': 3, 'max_features': 1.0, 'max_samples': 0.8, 'min_samples_split': 0.03}",0.525,0.535,0.525,0.525,0.495,0.521,0.01356465996625055,216
0.5108854293823242,0.047392615373633776,0.010993289947509765,0.0020477261877246463,3,1.0,0.8,0.07,"{'max_depth': 3, 'max_features': 1.0, 'max_samples': 0.8, 'min_samples_split': 0.07}",0.54,0.54,0.525,0.53,0.505,0.5279999999999999,0.012884098726725137,159
0.5317290782928467,0.016401022719397713,0.010828351974487305,0.0017153265988349643,3,1.0,0.8,0.1,"{'max_depth': 3, 'max_features': 1.0, 'max_samples': 0.8, 'min_samples_split': 0.1}",0.505,0.545,0.54,0.5,0.5,0.518,0.020149441679609904,236
0.45450100898742674,0.04017541485468005,0.009513616561889648,0.0021103738202819214,3,1.0,0.9,0.01,"{'max_depth': 3, 'max_features': 1.0, 'max_samples': 0.9, 'min_samples_split': 0.01}",0.51,0.54,0.54,0.51,0.5,0.52,0.016733200530681523,226
0.4696036338806152,0.036051114945094914,0.009668207168579102,0.002219901727059335,3,1.0,0.9,0.03,"{'max_depth': 3, 'max_features': 1.0, 'max_samples': 0.9, 'min_samples_split': 0.03}",0.51,0.545,0.545,0.515,0.535,0.53,0.01483239697419134,118
0.5078434944152832,0.025551928491757338,0.010316610336303711,0.001087994600986111,3,1.0,0.9,0.07,"{'max_depth': 3, 'max_features': 1.0, 'max_samples': 0.9, 'min_samples_split': 0.07}",0.52,0.535,0.535,0.505,0.52,0.523,0.011224972160321834,198
0.5108296871185303,0.00716174647221502,0.011224794387817382,0.0005606906995022044,3,1.0,0.9,0.1,"{'max_depth': 3, 'max_features': 1.0, 'max_samples': 0.9, 'min_samples_split': 0.1}",0.54,0.55,0.53,0.515,0.515,0.53,0.013784048752090234,118
0.5274442195892334,0.023604744516083173,0.009966707229614258,0.0008391680014662573,3,1.0,1.0,0.01,"{'max_depth': 3, 'max_features': 1.0, 'max_samples': 1.0, 'min_samples_split': 0.01}",0.515,0.565,0.54,0.505,0.54,0.533,0.02111871208194286,96
0.5124013423919678,0.019762565582471886,0.010032844543457032,0.0011341893660858388,3,1.0,1.0,0.03,"{'max_depth': 3, 'max_features': 1.0, 'max_samples': 1.0, 'min_samples_split': 0.03}",0.505,0.555,0.55,0.515,0.505,0.526,0.02200000000000002,172
0.5072501182556153,0.04010563362801779,0.010236072540283202,0.0013894425344749125,3,1.0,1.0,0.07,"{'max_depth': 3, 'max_features': 1.0, 'max_samples': 1.0, 'min_samples_split': 0.07}",0.505,0.555,0.54,0.52,0.535,0.531,0.017146428199482262,109
0.44388618469238283,0.014832646938599519,0.008417081832885743,0.0011573936192589443,3,1.0,1.0,0.1,"{'max_depth': 3, 'max_features': 1.0, 'max_samples': 1.0, 'min_samples_split': 0.1}",0.495,0.555,0.52,0.51,0.49,0.514,0.023108440016582705,252
0.4841437816619873,0.019729927011115454,0.011093807220458985,0.0005588830404457502,5,0.7,0.7,0.01,"{'max_depth': 5, 'max_features': 0.7, 'max_samples': 0.7, 'min_samples_split': 0.01}",0.52,0.555,0.525,0.56,0.515,0.535,0.018708286933869722,65
0.473143196105957,0.025349796276754537,0.010753774642944336,0.0008544370860189691,5,0.7,0.7,0.03,"{'max_depth': 5, 'max_features': 0.7, 'max_samples': 0.7, 'min_samples_split': 0.03}",0.49,0.545,0.55,0.54,0.51,0.5269999999999999,0.02315167380558047,167
0.4739274024963379,0.00814572433950482,0.010595464706420898,0.001036412880974581,5,0.7,0.7,0.07,"{'max_depth': 5, 'max_features': 0.7, 'max_samples': 0.7, 'min_samples_split': 0.07}",0.52,0.54,0.54,0.53,0.515,0.529,0.01019803902718558,140
0.45026297569274903,0.020348550035272212,0.009187078475952149,0.0008636141854243202,5,0.7,0.7,0.1,"{'max_depth': 5, 'max_features': 0.7, 'max_samples': 0.7, 'min_samples_split': 0.1}",0.48,0.515,0.525,0.525,0.53,0.515,0.018165902124584965,250
0.5019481658935547,0.007254746151527252,0.011107969284057616,0.00037014932138311994,5,0.7,0.8,0.01,"{'max_depth': 5, 'max_features': 0.7, 'max_samples': 0.8, 'min_samples_split': 0.01}",0.505,0.56,0.55,0.545,0.55,0.542,0.019131126469709006,13
0.4546024322509766,0.03607012293225002,0.010468769073486327,0.002398180455200158,5,0.7,0.8,0.03,"{'max_depth': 5, 'max_features': 0.7, 'max_samples': 0.8, 'min_samples_split': 0.03}",0.525,0.54,0.56,0.515,0.53,0.534,0.015297058540778369,80
0.45824589729309084,0.020648491215273623,0.009377813339233399,0.0029446298293016506,5,0.7,0.8,0.07,"{'max_depth': 5, 'max_features': 0.7, 'max_samples': 0.8, 'min_samples_split': 0.07}",0.49,0.56,0.515,0.51,0.525,0.52,0.023021728866442694,226
0.4321230411529541,0.010467666043025745,0.009694862365722656,0.0023007638287594334,5,0.7,0.8,0.1,"{'max_depth': 5, 'max_features': 0.7, 'max_samples': 0.8, 'min_samples_split': 0.1}",0.54,0.545,0.545,0.505,0.515,0.53,0.016733200530681523,118
0.5093128204345703,0.025415675172013253,0.010741710662841797,0.0005144524699744636,5,0.7,0.9,0.01,"{'max_depth': 5, 'max_features': 0.7, 'max_samples': 0.9, 'min_samples_split': 0.01}",0.51,0.52,0.55,0.515,0.555,0.53,0.018708286933869726,118
0.5427649021148682,0.021540097530675723,0.010243892669677734,0.0006689585183877975,5,0.7,0.9,0.03,"{'max_depth': 5, 'max_features': 0.7, 'max_samples': 0.9, 'min_samples_split': 0.03}",0.53,0.595,0.575,0.55,0.54,0.558,0.02379075450674061,1
0.5205544471740723,0.01575728063046415,0.01155104637145996,0.0006197717006758504,5,0.7,0.9,0.07,"{'max_depth': 5, 'max_features': 0.7, 'max_samples': 0.9, 'min_samples_split': 0.07}",0.5,0.535,0.54,0.515,0.53,0.524,0.014628738838327807,189
0.4966381072998047,0.029386602718106464,0.009633970260620118,0.0015256277145814403,5,0.7,0.9,0.1,"{'max_depth': 5, 'max_features': 0.7, 'max_samples': 0.9, 'min_samples_split': 0.1}",0.52,0.555,0.52,0.505,0.52,0.524,0.016552945357246864,189
0.47336883544921876,0.015065005995618785,0.009940767288208007,0.0017163390734548367,5,0.7,1.0,0.01,"{'max_depth': 5, 'max_features': 0.7, 'max_samples': 1.0, 'min_samples_split': 0.01}",0.535,0.56,0.535,0.54,0.525,0.539,0.011575836902790236,31
0.5331532478332519,0.00851453952437307,0.01077733039855957,0.0004063428101822767,5,0.7,1.0,0.03,"{'max_depth': 5, 'max_features': 0.7, 'max_samples': 1.0, 'min_samples_split': 0.03}",0.515,0.545,0.55,0.535,0.535,0.536,0.01200000000000001,54
0.5486820697784424,0.024276842850357316,0.009735727310180664,0.0014674687722540242,5,0.7,1.0,0.07,"{'max_depth': 5, 'max_features': 0.7, 'max_samples': 1.0, 'min_samples_split': 0.07}",0.515,0.56,0.535,0.53,0.505,0.5290000000000001,0.018814887722226795,134
